id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
172978,2020,0,50.86366254,4.35937945,Belgium,1,0,1,1,2,ground,,mobile_application,False
172961,2019,8,35.60636315,-112.0975075,United States of America,1,20,0,2,1,ground,,mobile_application,False
172960,2019,8,35.6063255,-112.09746937,United States of America,1,20,0,2,1,ground,,mobile_application,False
172959,2019,8,35.60624445,-112.0974347,United States of America,1,2,0,2,1,ground,,mobile_application,False
172953,2019,8,35.17756126,-111.6804034,United States of America,1,0,0,1,0,ground,,mobile_application,False
172896,2019,8,18.1110823,102.62983225,"Lao People's Democratic Republic",1,8,4,1,2,ground,,mobile_application,False
172895,2019,8,18.1120823,102.62983235,"Lao People's Democratic Republic",1,8,4,1,2,ground,,mobile_application,False
172850,2013,1,14.46258479,99.47737627,Thailand,1,0,0,1,0,streetview,,,False
172849,2016,10,10.68817152,105.51835292,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
172848,2016,10,10.66720742,105.65343554,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
172847,2016,10,10.70888753,105.50518105,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
172845,2016,10,10.71600402,105.50044903,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
172844,2016,10,10.71002763,105.50202149,Viet Nam,1,3,0,2,2,ground,,mobile_application,False
172843,2016,10,10.71601977,105.50046138,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
172842,2016,10,10.71277279,105.50482179,Viet Nam,1,3,0,2,2,ground,,mobile_application,False
172840,2016,10,10.70844387,105.50491383,Viet Nam,1,3,0,2,2,ground,,mobile_application,False
172829,2013,1,14.46221425,99.47667546,Thailand,1,3,0,2,0,streetview,,,False
172823,2015,4,48.02538345,106.51045623,Mongolia,1,8,0,1,0,streetview,,,False
172821,2017,2,35.22734228,-111.5437402,United States of America,1,4,11,1,2,ground,,mobile_application,False
172820,2017,2,35.22325324,-111.54328239,United States of America,1,22,0,1,1,ground,,mobile_application,False
172819,2017,2,35.22804984,-111.54705395,United States of America,1,21,0,1,4,ground,,mobile_application,False
172818,2017,2,35.22671929,-111.54676725,United States of America,1,2,22,1,2,ground,,mobile_application,False
172799,2012,8,42.90268793,-112.85096656,United States of America,1,8,0,2,0,streetview,,,False
172798,2012,2,39.24371718,-121.539828,United States of America,1,3,0,2,0,streetview,,,False
172776,2016,9,35.21692454,-111.63264005,United States of America,1,0,0,1,1,ground,,mobile_application,False
172774,2016,9,35.21686171,-111.63245335,United States of America,1,0,0,1,1,ground,,mobile_application,False
172772,2016,9,35.21601503,-111.63462956,United States of America,1,9,0,1,1,ground,,mobile_application,False
172769,2016,9,-8.57041628,115.40525383,Indonesia,1,3,2,2,3,ground,,mobile_application,False
172768,2016,9,-8.49983175,115.54601196,Indonesia,1,21,21,2,4,ground,,mobile_application,False
172767,2016,9,-8.4477171,115.50687265,Indonesia,1,21,0,2,4,ground,,mobile_application,False
172765,2016,9,-8.44774516,115.50705465,Indonesia,1,21,0,2,4,ground,,mobile_application,False
172763,2016,9,-8.44221613,115.55744205,Indonesia,1,0,3,2,3,ground,,mobile_application,False
172760,2016,9,-8.48889653,115.40139747,Indonesia,1,20,20,2,2,ground,,mobile_application,False
172759,2016,9,-8.56759292,115.39924193,Indonesia,1,2,3,2,2,ground,,mobile_application,False
172758,2016,9,-8.53013799,115.35530587,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172757,2016,9,-8.40550062,115.34737461,Indonesia,1,21,21,2,4,ground,,mobile_application,False
172756,2016,9,-8.3072935,115.35261033,Indonesia,1,21,0,2,4,ground,,mobile_application,False
172754,2016,9,-8.35244907,115.22797773,Indonesia,1,3,20,2,2,ground,,mobile_application,False
172753,2016,9,-8.2543514,115.24548085,Indonesia,1,21,0,2,4,ground,,mobile_application,False
172751,2016,9,-8.33492649,115.20885131,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172750,2016,9,-8.53649342,115.21501139,Indonesia,1,3,20,2,2,ground,,mobile_application,False
172748,2016,9,-8.33444509,115.20935872,Indonesia,1,20,20,2,4,ground,,mobile_application,False
172746,2016,9,-8.32389767,115.20003606,Indonesia,1,20,20,2,2,ground,,mobile_application,False
172742,2016,9,-5.0845914,119.52043833,Indonesia,1,7,4,1,1,ground,,mobile_application,False
172741,2016,9,-5.08438099,119.52033055,Indonesia,1,3,2,1,2,ground,,mobile_application,False
172740,2016,9,-5.08450853,119.5202434,Indonesia,1,3,2,1,1,ground,,mobile_application,False
172739,2016,9,-5.08440756,119.52015509,Indonesia,1,3,2,1,2,ground,,mobile_application,False
172738,2016,9,-6.56817914,106.86585489,Indonesia,1,19,9,1,2,ground,,mobile_application,False
172736,2016,9,-6.56805595,106.8655486,Indonesia,1,3,19,1,2,ground,,mobile_application,False
172735,2016,9,-6.56808737,106.8655426,Indonesia,1,3,20,1,2,ground,,mobile_application,False
172731,2016,7,35.40291475,-111.75748631,United States of America,1,3,0,1,1,ground,,mobile_application,False
172730,2016,9,-6.29885385,107.06519021,Indonesia,1,3,0,1,1,ground,,mobile_application,False
172727,2016,9,-6.32548997,108.02920407,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172726,2016,9,-6.29614397,107.76623271,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172724,2016,9,-6.32471548,108.02843688,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172721,2016,9,-6.43596791,108.27543264,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172720,2016,9,-6.43619175,108.2747874,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172716,2016,9,-6.63564427,108.25243402,Indonesia,1,0,0,2,2,ground,,mobile_application,False
172715,2016,9,-6.47181933,107.55242778,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172714,2016,9,-6.67067857,108.10185665,Indonesia,1,3,0,1,1,ground,,mobile_application,False
172713,2016,9,-6.51284839,107.75029855,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172712,2016,9,-6.63732853,108.25284403,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172710,2016,9,-6.67074233,108.10184598,Indonesia,1,3,0,1,1,ground,,mobile_application,False
172709,2016,9,-6.51276338,107.74992137,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172706,2016,9,-6.292041,107.79274908,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172704,2016,9,-6.36473268,107.6629265,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172701,2016,9,-6.36432979,107.66284871,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172699,2016,9,-6.29205564,107.79221686,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172697,2016,9,-6.56819737,106.86555023,Indonesia,1,3,2,2,2,ground,,mobile_application,False
172696,2016,9,-6.56813134,106.86583998,Indonesia,1,21,0,1,4,ground,,mobile_application,False
172695,2016,9,-6.56811616,106.86570034,Indonesia,1,19,19,1,2,ground,,mobile_application,False
172694,2016,9,-6.5679542,106.86564342,Indonesia,1,3,0,1,2,ground,,mobile_application,False
172693,2016,9,-6.56804177,106.86565468,Indonesia,1,3,5,2,3,ground,,mobile_application,False
172692,2016,9,-6.56807062,106.86569098,Indonesia,1,3,0,2,3,ground,,mobile_application,False
172690,2016,9,-6.56817664,106.86602625,Indonesia,1,5,2,1,2,ground,,mobile_application,False
172689,2016,9,-6.56806591,106.86591566,Indonesia,1,3,2,2,3,ground,,mobile_application,False
172688,2016,8,-6.56897599,106.86572497,Indonesia,1,3,0,2,2,ground,,mobile_application,False
172685,2016,8,13.82008676,100.32175926,Thailand,1,3,0,2,0,ground,,mobile_application,False
172682,2016,8,13.86110541,100.29873396,Thailand,1,3,0,2,2,ground,,mobile_application,False
172680,2016,8,13.92062403,100.25977158,Thailand,1,3,0,2,2,ground,,mobile_application,False
172679,2016,8,13.93401883,100.2408513,Thailand,1,20,0,2,0,ground,,mobile_application,False
172677,2016,8,13.95242303,100.23804044,Thailand,1,3,0,2,0,ground,,mobile_application,False
