,id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
0,172978,2020,0,50.86366254,4.35937945,Belgium,1,0,1,1,2,ground,,mobile_application,False
1,172961,2019,8,35.60636315,-112.09750749999999,United States of America,1,20,0,2,1,ground,,mobile_application,False
4,172953,2019,8,35.17756126,-111.6804034,United States of America,1,0,0,1,0,ground,,mobile_application,False
5,172896,2019,8,18.1110823,102.62983225,Lao People's Democratic Republic,1,8,4,1,2,ground,,mobile_application,False
7,172850,2013,1,14.46258479,99.47737627,Thailand,1,0,0,1,0,streetview,,,False
8,172849,2016,10,10.68817152,105.51835292,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
9,172848,2016,10,10.66720742,105.65343554,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
10,172847,2016,10,10.70888753,105.50518105,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
11,172845,2016,10,10.71600402,105.50044903,Viet Nam,1,3,3,2,2,ground,,mobile_application,False
17,172823,2015,4,48.02538345,106.51045623,Mongolia,1,8,0,1,0,streetview,,,False
18,172821,2017,2,35.22734228,-111.5437402,United States of America,1,4,11,1,2,ground,,mobile_application,False
22,172799,2012,8,42.90268793,-112.85096656,United States of America,1,8,0,2,0,streetview,,,False
23,172798,2012,2,39.24371718,-121.539828,United States of America,1,3,0,2,0,streetview,,,False
24,172776,2016,9,35.21692454,-111.63264005,United States of America,1,0,0,1,1,ground,,mobile_application,False
27,172769,2016,9,-8.57041628,115.40525383,Indonesia,1,3,2,2,3,ground,,mobile_application,False
28,172768,2016,9,-8.49983175,115.54601196,Indonesia,1,21,21,2,4,ground,,mobile_application,False
29,172767,2016,9,-8.4477171,115.50687265,Indonesia,1,21,0,2,4,ground,,mobile_application,False
31,172763,2016,9,-8.44221613,115.55744205,Indonesia,1,0,3,2,3,ground,,mobile_application,False
32,172760,2016,9,-8.48889653,115.40139747,Indonesia,1,20,20,2,2,ground,,mobile_application,False
33,172759,2016,9,-8.56759292,115.39924193,Indonesia,1,2,3,2,2,ground,,mobile_application,False
34,172758,2016,9,-8.53013799,115.35530587,Indonesia,1,3,0,2,2,ground,,mobile_application,False
35,172757,2016,9,-8.40550062,115.34737461,Indonesia,1,21,21,2,4,ground,,mobile_application,False
36,172756,2016,9,-8.3072935,115.35261033,Indonesia,1,21,0,2,4,ground,,mobile_application,False
37,172754,2016,9,-8.35244907,115.22797773,Indonesia,1,3,20,2,2,ground,,mobile_application,False
38,172753,2016,9,-8.254351400000001,115.24548085,Indonesia,1,21,0,2,4,ground,,mobile_application,False
39,172751,2016,9,-8.33492649,115.20885131,Indonesia,1,3,0,2,2,ground,,mobile_application,False
40,172750,2016,9,-8.53649342,115.21501139,Indonesia,1,3,20,2,2,ground,,mobile_application,False
42,172746,2016,9,-8.32389767,115.20003606,Indonesia,1,20,20,2,2,ground,,mobile_application,False
43,172742,2016,9,-5.084591400000001,119.52043833,Indonesia,1,7,4,1,1,ground,,mobile_application,False
47,172738,2016,9,-6.56817914,106.86585489,Indonesia,1,19,9,1,2,ground,,mobile_application,False
50,172731,2016,7,35.40291475,-111.75748631,United States of America,1,3,0,1,1,ground,,mobile_application,False
51,172730,2016,9,-6.29885385,107.06519021,Indonesia,1,3,0,1,1,ground,,mobile_application,False
52,172727,2016,9,-6.32548997,108.02920407,Indonesia,1,3,0,2,2,ground,,mobile_application,False
53,172726,2016,9,-6.29614397,107.76623271,Indonesia,1,3,0,2,2,ground,,mobile_application,False
55,172721,2016,9,-6.43596791,108.27543264,Indonesia,1,3,0,2,2,ground,,mobile_application,False
