,model_type,split_percent,augmentations,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
0,simclr_finetune,3,"blur,brightness",0.6348540186882019,1363.0,512.0,1522.0,667.0,0.7098917365074158,0.7269333600997925,0.6714285612106323,0.7958669662475586,0.6980793922226141,0.7074394594857482
1,simclr_finetune,3,"blur,contrast",0.9353470206260681,1705.0,561.0,1471.0,327.0,0.7814960479736328,0.7524271607398987,0.8390747904777527,0.8475645184516907,0.7933922566221967,0.7792504364300212
2,simclr_finetune,3,"blur,gain",0.676681637763977,1634.0,412.0,1619.0,399.0,0.8004429340362549,0.798631489276886,0.8037382960319519,0.8782658576965332,0.8011767548714076,0.8003265322867473
3,simclr_finetune,3,"brightness,contrast",0.8578651547431946,1594.0,485.0,1550.0,435.0,0.7736220359802246,0.7667147517204285,0.7856086492538452,0.8484712839126587,0.7760467182083864,0.7729109240835009
4,simclr_finetune,3,"brightness,gain",0.4774928092956543,1462.0,328.0,1706.0,568.0,0.7795275449752808,0.8167597651481628,0.7201970219612122,0.8786299824714661,0.7654450085402247,0.7818181660730377
5,simclr_finetune,3,"contrast,gain",0.47345006465911865,1838.0,579.0,1451.0,196.0,0.8093011975288391,0.7604468464851379,0.9036381244659424,0.8692424893379211,0.8258818198702083,0.8028538162939268
6,simclr_finetune,3,"flip,blur",0.4801536202430725,1542.0,448.0,1582.0,492.0,0.7687007784843445,0.7748743891716003,0.7581120729446411,0.8553600311279297,0.7664015879639917,0.7692051919071881
7,simclr_finetune,3,"flip,brightness",0.8822193741798401,1560.0,400.0,1633.0,471.0,0.7856791615486145,0.795918345451355,0.768094539642334,0.8469069004058838,0.7817589496466656,0.7864224374803993
8,simclr_finetune,3,"flip,contrast",0.49951261281967163,1627.0,390.0,1642.0,405.0,0.804379940032959,0.806643545627594,0.8006889820098877,0.8897473216056824,0.8036552341073191,0.8046488747785138
9,simclr_finetune,3,"flip,gain",0.6824505925178528,1307.0,242.0,1789.0,726.0,0.7618110179901123,0.8437701463699341,0.6428923010826111,0.8595226407051086,0.7297599154590791,0.7641785185720806
10,simclr_finetune,3,"flip,zoom",0.5199849605560303,1570.0,366.0,1668.0,460.0,0.7967519760131836,0.8109503984451294,0.7733989953994751,0.8784046769142151,0.7917296852739324,0.7980345481360087
11,simclr_finetune,3,"rotation,blur",0.8155023455619812,1504.0,412.0,1619.0,529.0,0.7684547305107117,0.7849686741828918,0.7397934198379517,0.8372167348861694,0.761711826673317,0.7693094601375726
12,simclr_finetune,3,"rotation,brightness",0.5121366381645203,1506.0,353.0,1679.0,526.0,0.7837106585502625,0.8101129531860352,0.7411417365074158,0.868026077747345,0.7740940606085747,0.7857391252609282
