,model,labeling,split_percent,pretrain,arch,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
0,BEN,balanced,100,False,InceptionV3,1.13363778591156,1888.0,554.0,1475.0,147.0,0.8275098204612732,0.7731367945671082,0.9277641177177429,0.8542837500572205,0.8434219429315611,0.8186154202606436
92,BEN,expanded,100,False,ResNet152,2.953650951385498,5018.0,1859.0,3630.0,469.0,0.7879008650779724,0.7296786308288574,0.9145252704620361,0.816744327545166,0.8117114266487417,0.7823917684324165
93,BEN,expanded,100,False,ResNet50,6.212305545806885,5018.0,1845.0,3647.0,466.0,0.7894496917724609,0.7311671376228333,0.915025532245636,0.7993395328521729,0.812829034547101,0.7836543548436544
94,BEN,expanded,100,False,Xception,5.560334205627441,5011.0,1838.0,3647.0,480.0,0.788811981678009,0.7316396832466125,0.9125842452049255,0.7963011860847473,0.8121556152346922,0.7834176083019182
105,BEN,expanded,10,False,InceptionV3,1.9915895462036133,4337.0,1387.0,4104.0,1148.0,0.7690415382385254,0.7576869130134583,0.7907019257545471,0.8049907088279724,0.7738424434981647,0.7683812577846418
106,BEN,expanded,10,False,ResNet101V2,2.1185710430145264,4347.0,1428.0,4059.0,1142.0,0.7658527493476868,0.7527272701263428,0.7919475436210632,0.7916630506515503,0.7718394930606108,0.7653618190119135
107,BEN,expanded,10,False,ResNet152,1.7453718185424805,4296.0,1429.0,4061.0,1190.0,0.7613884806632996,0.7503930330276489,0.7830842137336731,0.7908924221992493,0.7663901626199255,0.7609825359014499
108,BEN,expanded,10,False,ResNet50,2.852731704711914,4338.0,1413.0,4074.0,1151.0,0.7663994431495667,0.7543035745620728,0.790307879447937,0.782920777797699,0.7718861036858365,0.765934886824501
109,BEN,expanded,10,False,Xception,3.491413116455078,4340.0,1417.0,4069.0,1150.0,0.7661260962486267,0.7538648843765259,0.7905282378196716,0.7795422077178955,0.7717613734938619,0.7657022058287931
120,BEN,expanded,1,False,InceptionV3,2.376452684402466,4635.0,1802.0,3686.0,853.0,0.7581086158752441,0.7200559377670288,0.844569981098175,0.7743707895278931,0.7773585013734144,0.7572704607692204
121,BEN,expanded,1,False,ResNet101V2,2.192859172821045,4671.0,1818.0,3670.0,817.0,0.7599307298660278,0.7198335528373718,0.8511297106742859,0.800346314907074,0.7799949722447078,0.7588540944833452
122,BEN,expanded,1,False,ResNet152,3.570460796356201,4652.0,2035.0,3452.0,837.0,0.7383381724357605,0.695678174495697,0.8475131988525391,0.7646150588989258,0.7641261417364014,0.739861096048334
123,BEN,expanded,1,False,ResNet50,3.1886086463928223,4646.0,1811.0,3679.0,840.0,0.7584730386734009,0.7195292115211487,0.8468829989433289,0.794230043888092,0.7780289918701166,0.7575000200202048
91,BEN,expanded,100,False,ResNet101V2,4.665824890136719,5015.0,1861.0,3624.0,476.0,0.7870808839797974,0.7293484807014465,0.9133126735687256,0.7970396280288696,0.8110293582350915,0.781842760224122
124,BEN,expanded,1,False,Xception,2.987203359603882,4660.0,1814.0,3670.0,832.0,0.7589285969734192,0.7198022603988647,0.8485069274902344,0.7649844288825989,0.7788734633298026,0.7581344734732179
136,BEN,expanded,25,False,ResNet101V2,2.201864242553711,4886.0,1691.0,3799.0,600.0,0.7912718653678894,0.7428919076919556,0.8906307220458984,0.8090745806694031,0.810080428767517,0.7863734059765143
137,BEN,expanded,25,False,ResNet152,1.671244502067566,4801.0,1647.0,3840.0,688.0,0.7872630953788757,0.7445719838142395,0.8746584057807922,0.8222888708114624,0.8043897255595366,0.78341040574008
138,BEN,expanded,25,False,ResNet50,3.9446210861206055,4859.0,1673.0,3817.0,627.0,0.7904518842697144,0.7438762784004211,0.8857091069221497,0.8220137357711792,0.8086204014062027,0.7858220930797957
139,BEN,expanded,25,False,Xception,10.634378433227539,4872.0,1691.0,3801.0,612.0,0.7901785969734192,0.7423434257507324,0.8884026408195496,0.7965548634529114,0.8088320718369291,0.7853841949433508
150,BEN,expanded,3,False,InceptionV3,1.9639062881469727,5033.0,2066.0,3426.0,451.0,0.7706815004348755,0.7089731097221375,0.9177607297897339,0.7968121767044067,0.7999682096428629,0.7671476525396671
151,BEN,expanded,3,False,ResNet101V2,6.379471302032471,5035.0,2104.0,3382.0,455.0,0.7668549418449402,0.7052808403968811,0.9171220660209656,0.7867574691772461,0.7973711325480096,0.7641137163324846
152,BEN,expanded,3,False,ResNet152,2.7485392093658447,5020.0,2028.0,3459.0,469.0,0.772503674030304,0.7122588157653809,0.9145563840866089,0.8034055233001709,0.8008295559808666,0.7689558479331
153,BEN,expanded,3,False,ResNet50,6.055933952331543,5040.0,2066.0,3417.0,453.0,0.7704992890357971,0.7092598080635071,0.917531430721283,0.7860839366912842,0.800063524969233,0.7673179674635512
154,BEN,expanded,3,False,Xception,5.994140148162842,5028.0,2053.0,3435.0,460.0,0.7710459232330322,0.7100691795349121,0.9161807298660278,0.7801879048347473,0.8000636254009821,0.7676335658256943
165,BEN,expanded,50,False,InceptionV3,2.379240036010742,4297.0,1254.0,4235.0,1190.0,0.7773323655128479,0.7740947604179382,0.7831237316131592,0.7941282987594604,0.7785830703949594,0.7770811951468308
166,BEN,expanded,50,False,ResNet101V2,3.27296781539917,4292.0,1229.0,4259.0,1196.0,0.7790634036064148,0.7773954272270203,0.782069981098175,0.8089103698730469,0.7797256980905881,0.7789473904474681
167,BEN,expanded,50,False,ResNet152,1.852268934249878,4265.0,1256.0,4235.0,1220.0,0.7744169235229492,0.772504985332489,0.7775751948356628,0.8208506107330322,0.7750317979245042,0.7741876923860946
135,BEN,expanded,25,False,InceptionV3,2.276888847351074,4875.0,1686.0,3798.0,617.0,0.7901785969734192,0.7430269718170166,0.8876547813415527,0.8001707792282104,0.8089272390784819,0.7856989347891438
90,BEN,expanded,100,False,InceptionV3,2.3284554481506348,5002.0,1850.0,3639.0,485.0,0.7872630953788757,0.7300058603286743,0.9116092324256897,0.8058114051818848,0.8107626263156613,0.7819290401992567
79,BEN,balanced,50,False,Xception,2.456838846206665,1684.0,414.0,1619.0,347.0,0.8127460479736328,0.8026692271232605,0.8291481733322144,0.8129714727401733,0.8156938677985266,0.811305607702883
78,BEN,balanced,50,False,ResNet50,0.9874781370162964,1642.0,415.0,1617.0,390.0,0.8019192814826965,0.7982499003410339,0.8080708384513855,0.8406045436859131,0.8031303471151552,0.8014969141815945
1,BEN,balanced,100,False,ResNet101V2,2.5291991233825684,1886.0,556.0,1477.0,145.0,0.8275098204612732,0.7723177671432495,0.9286065697669983,0.8378807902336121,0.8432818990876059,0.8182212470245306
2,BEN,balanced,100,False,ResNet152,1.0923389196395874,1863.0,524.0,1506.0,171.0,0.8289862275123596,0.7804775834083557,0.9159291982650757,0.8767537474632263,0.8427957432826324,0.8209459419365036
3,BEN,balanced,100,False,ResNet50,2.2451703548431396,1883.0,556.0,1475.0,150.0,0.8262795209884644,0.7720377445220947,0.9262174367904663,0.8447792530059814,0.8421288257564151,0.8173925868812507
4,BEN,balanced,100,False,Xception,4.327583312988281,1887.0,554.0,1479.0,144.0,0.8282480239868164,0.7730438113212585,0.9290989637374878,0.8289898633956909,0.8439176954441684,0.8188919247885343
15,BEN,balanced,10,False,InceptionV3,1.482020616531372,1769.0,538.0,1496.0,261.0,0.803395688533783,0.7667967081069946,0.8714285492897034,0.838076651096344,0.8157712621372325,0.7987657992893389
16,BEN,balanced,10,False,ResNet101V2,2.4693098068237305,1772.0,541.0,1490.0,261.0,0.8026574850082397,0.7661046385765076,0.8716182708740234,0.8083968758583069,0.8154624894496467,0.7983180672525267
17,BEN,balanced,10,False,ResNet152,5.543772220611572,1606.0,647.0,1382.0,429.0,0.7352362275123596,0.7128273248672485,0.7891891598701477,0.7915316820144653,0.7490671418866919,0.7365845998613901
18,BEN,balanced,10,False,ResNet50,2.05428409576416,1775.0,551.0,1483.0,255.0,0.8016732335090637,0.7631126642227173,0.8743842244148254,0.8256393671035767,0.814967869163637,0.7969171051690622
19,BEN,balanced,10,False,Xception,3.4784493446350098,1774.0,546.0,1485.0,259.0,0.8019192814826965,0.7646551728248596,0.8726020455360413,0.813807487487793,0.8150700579652084,0.7975423294061862
30,BEN,balanced,1,False,InceptionV3,1.9290916919708252,1726.0,719.0,1313.0,306.0,0.7477854490280151,0.7059304714202881,0.8494094610214233,0.7624101638793945,0.7710520494466607,0.748049700577124
31,BEN,balanced,1,False,ResNet101V2,2.9718377590179443,1734.0,722.0,1308.0,300.0,0.7485235929489136,0.7060260772705078,0.8525073528289795,0.7564640045166016,0.7723830757017358,0.7489202502386291
32,BEN,balanced,1,False,ResNet152,1.759381651878357,1697.0,707.0,1324.0,336.0,0.7433562874794006,0.7059068083763123,0.8347269892692566,0.8308926820755005,0.7649312455187185,0.7441894319042969
33,BEN,balanced,1,False,ResNet50,3.9743475914001465,1732.0,757.0,1276.0,299.0,0.7401574850082397,0.69586181640625,0.8527818918228149,0.7778204083442688,0.7663717007196955,0.7413325937260293
34,BEN,balanced,1,False,Xception,4.16263484954834,1729.0,720.0,1312.0,303.0,0.7482775449752808,0.7060024738311768,0.850885808467865,0.7534829378128052,0.7717027516438946,0.7484848616360193
45,BEN,balanced,25,False,InceptionV3,1.344804048538208,1731.0,517.0,1516.0,300.0,0.7989665269851685,0.7700178027153015,0.8522894978523254,0.8098729848861694,0.809067537554631,0.7956182035383867
46,BEN,balanced,25,False,ResNet101V2,3.471522092819214,1750.0,474.0,1557.0,283.0,0.8137302994728088,0.7868704795837402,0.8607968688011169,0.8582295775413513,0.8221752353612907,0.810060163908848
47,BEN,balanced,25,False,ResNet152,0.674423098564148,1791.0,503.0,1527.0,243.0,0.8164370059967041,0.7807323336601257,0.8805309534072876,0.8892046809196472,0.8276339957252667,0.8113862741131145
48,BEN,balanced,25,False,ResNet50,1.5643055438995361,1762.0,517.0,1517.0,268.0,0.8068405389785767,0.7731460928916931,0.8679803013801575,0.8495532274246216,0.8178231500770807,0.8023679262606721
49,BEN,balanced,25,False,Xception,3.2744624614715576,1752.0,498.0,1534.0,280.0,0.8085629940032959,0.7786666750907898,0.8622047305107117,0.8102481961250305,0.818309208707576,0.8046540187911752
60,BEN,balanced,3,False,InceptionV3,1.3782782554626465,1587.0,472.0,1562.0,443.0,0.7748523354530334,0.7707625031471252,0.7817733883857727,0.8207491636276245,0.7762289001010959,0.7743981728252671
61,BEN,balanced,3,False,ResNet101V2,4.232198238372803,1547.0,453.0,1578.0,486.0,0.7689468264579773,0.7735000252723694,0.7609444260597229,0.7811695337295532,0.7671708575401255,0.7692690400985949
62,BEN,balanced,3,False,ResNet152,0.7621987462043762,1536.0,510.0,1521.0,497.0,0.7522145509719849,0.7507331371307373,0.7555336952209473,0.852687656879425,0.7531257663499673,0.7523265305317501
63,BEN,balanced,3,False,ResNet50,1.5372477769851685,1593.0,467.0,1565.0,439.0,0.7770669460296631,0.7733009457588196,0.7839567065238953,0.804246187210083,0.7785923693490867,0.776820533722398
64,BEN,balanced,3,False,Xception,3.820793867111206,1600.0,469.0,1562.0,433.0,0.7780511975288391,0.7733204364776611,0.7870142459869385,0.7802842855453491,0.7801072514256117,0.7778317822850107
75,BEN,balanced,50,False,InceptionV3,1.1193052530288696,1663.0,407.0,1624.0,370.0,0.8088090419769287,0.803381621837616,0.8180029392242432,0.8536556363105774,0.8106263544923898,0.8081969689991856
76,BEN,balanced,50,False,ResNet101V2,2.2656874656677246,1686.0,420.0,1610.0,348.0,0.8110235929489136,0.8005697727203369,0.8289085626602173,0.8226552605628967,0.8144927431144422,0.809798254469658
77,BEN,balanced,50,False,ResNet152,0.5328170657157898,1708.0,388.0,1646.0,322.0,0.8252952694892883,0.8148854970932007,0.8413792848587036,0.8973819017410278,0.8279204922512396,0.8235294042455686
