,model,labeling,split_percent,pretrain,arch,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
10,CA_adam,balanced,100,False,InceptionV3,0.8033819794654846,1669.0,221.0,1812.0,362.0,0.8565452694892883,0.8830687999725342,0.8217626810073853,0.8865099549293518,0.8513134496581384,0.8616417256445601
102,CA_adam,expanded,100,False,ResNet152,0.9587315320968628,4794.0,1235.0,4254.0,693.0,0.8243440389633179,0.795156717300415,0.8737014532089233,0.8677288293838501,0.832580732995635,0.8197206936113824
103,CA_adam,expanded,100,False,ResNet50,2.017460823059082,4839.0,1228.0,4260.0,649.0,0.8289905190467834,0.7975935339927673,0.881742000579834,0.8437178730964661,0.8375595035465124,0.8237997975377155
104,CA_adam,expanded,100,False,Xception,1.7988537549972534,4848.0,1240.0,4244.0,644.0,0.8283527493476868,0.7963206171989441,0.8827385306358337,0.8468735814094543,0.8373056928312413,0.8231831468762261
115,CA_adam,expanded,10,False,InceptionV3,1.4981515407562256,4586.0,1287.0,4199.0,904.0,0.800382673740387,0.7808615565299988,0.8353369832038879,0.8330760598182678,0.8071811982196967,0.7982130352531112
116,CA_adam,expanded,10,False,ResNet101V2,2.0517473220825195,4587.0,1273.0,4213.0,903.0,0.8017492890357971,0.7827644944190979,0.8355191349983215,0.8200937509536743,0.8082819369802163,0.7995932551329157
117,CA_adam,expanded,10,False,ResNet152,1.0163543224334717,4536.0,1195.0,4292.0,953.0,0.8043003082275391,0.7914848923683167,0.8263800144195557,0.8463378548622131,0.8085561334867974,0.8027844809166118
118,CA_adam,expanded,10,False,ResNet50,1.6650257110595703,4636.0,1333.0,4157.0,850.0,0.8011115193367004,0.776679515838623,0.8450601696968079,0.8259451389312744,0.8094282076323795,0.7982093748657566
119,CA_adam,expanded,10,False,Xception,2.8682124614715576,4619.0,1304.0,4186.0,867.0,0.8022047877311707,0.7798413038253784,0.8419613838195801,0.8108670711517334,0.8097116478231189,0.7995038213275589
130,CA_adam,expanded,1,False,InceptionV3,1.6008695363998413,3715.0,1318.0,4166.0,1777.0,0.7180211544036865,0.7381283640861511,0.6764384508132935,0.7465658187866211,0.7059382446198268,0.7163517212859762
131,CA_adam,expanded,1,False,ResNet101V2,2.2861504554748535,3756.0,1346.0,4144.0,1730.0,0.7197521924972534,0.736181914806366,0.6846518516540527,0.7366939187049866,0.709482450409438,0.7181644559193585
132,CA_adam,expanded,1,False,ResNet152,1.2749719619750977,3639.0,1587.0,3898.0,1852.0,0.686680018901825,0.6963260769844055,0.662720799446106,0.7330516576766968,0.6791079578157156,0.6847519325594927
133,CA_adam,expanded,1,False,ResNet50,2.136617422103882,3792.0,1452.0,4036.0,1696.0,0.7131924033164978,0.7231121063232422,0.6909620761871338,0.7360460758209229,0.7066716138104624,0.7120680799251118
101,CA_adam,expanded,100,False,ResNet101V2,2.1153316497802734,4859.0,1224.0,4266.0,627.0,0.831359326839447,0.7987834811210632,0.8857091069221497,0.8453662395477295,0.8400034630128669,0.8257987749449024
134,CA_adam,expanded,1,False,Xception,2.4582574367523193,3754.0,1332.0,4155.0,1735.0,0.7205721735954285,0.7381045818328857,0.6839132905006409,0.7259616255760193,0.7099763555946791,0.7191111592872313
146,CA_adam,expanded,25,False,ResNet101V2,1.8874725103378296,3948.0,903.0,4586.0,1539.0,0.7775145769119263,0.8138527870178223,0.7195188403129578,0.7951605916023254,0.7637840730363401,0.7797748118393657
147,CA_adam,expanded,25,False,ResNet152,1.1160084009170532,3954.0,859.0,4626.0,1537.0,0.7817055583000183,0.8215250372886658,0.7200874090194702,0.8194683194160461,0.7674689406698998,0.7846794977932168
148,CA_adam,expanded,25,False,ResNet50,1.4880441427230835,3969.0,912.0,4576.0,1519.0,0.7785167694091797,0.8131530284881592,0.7232142686843872,0.7999564409255981,0.7655511464072933,0.7807868700728198
149,CA_adam,expanded,25,False,Xception,1.8831841945648193,3920.0,901.0,4585.0,1570.0,0.7748724222183228,0.8131093382835388,0.7140254974365234,0.7848206758499146,0.7603530299463511,0.7771609971167852
160,CA_adam,expanded,3,False,InceptionV3,1.6384074687957764,3986.0,1287.0,4205.0,1498.0,0.7462645769119263,0.7559264302253723,0.7268417477607727,0.7721489667892456,0.7410988391588013,0.7459763119110407
161,CA_adam,expanded,3,False,ResNet101V2,1.8622020483016968,4006.0,1300.0,4191.0,1479.0,0.7468112111091614,0.7549943327903748,0.7303555011749268,0.7603437900543213,0.742470563769188,0.7465987316509921
162,CA_adam,expanded,3,False,ResNet152,1.082552433013916,4034.0,1347.0,4142.0,1453.0,0.7448979616165161,0.7496747970581055,0.7351922988891602,0.7900778651237488,0.7423629211970728,0.7447843135417856
163,CA_adam,expanded,3,False,ResNet50,2.01768159866333,3970.0,1276.0,4212.0,1518.0,0.7454445958137512,0.7567670345306396,0.7233964800834656,0.7622212171554565,0.7397055847108777,0.7453066088601794
164,CA_adam,expanded,3,False,Xception,2.4202048778533936,3987.0,1294.0,4196.0,1499.0,0.7455357313156128,0.7549706697463989,0.7267590165138245,0.7535886764526367,0.740596272760801,0.7453265313322442
175,CA_adam,expanded,50,False,InceptionV3,1.1078834533691406,4106.0,669.0,4819.0,1382.0,0.8131377696990967,0.8598952889442444,0.7481778264045715,0.853497326374054,0.8001558910190252,0.8191248777675878
176,CA_adam,expanded,50,False,ResNet101V2,1.2522262334823608,4176.0,740.0,4749.0,1311.0,0.8131377696990967,0.8494710922241211,0.7610716223716736,0.8471651673316956,0.8028453222106643,0.817807936441545
177,CA_adam,expanded,50,False,ResNet152,0.6258577108383179,4459.0,1132.0,4354.0,1031.0,0.8029336929321289,0.7975317239761353,0.8122040033340454,0.8768805861473083,0.8048009968464881,0.8023632266361379
145,CA_adam,expanded,25,False,InceptionV3,2.567275047302246,3929.0,897.0,4590.0,1560.0,0.7761479616165161,0.8141317963600159,0.7157952189445496,0.7895082831382751,0.7618031992319941,0.778482269807629
100,CA_adam,expanded,100,False,InceptionV3,1.0831698179244995,4848.0,1214.0,4273.0,641.0,0.8309949040412903,0.7997360825538635,0.8832209706306458,0.855512261390686,0.8394078479246069,0.8257537152836896
89,CA_adam,balanced,50,False,Xception,1.3548294305801392,1882.0,355.0,1674.0,153.0,0.875,0.8413053154945374,0.9248157143592834,0.8783832788467407,0.8810861353117359,0.867414343369336
88,CA_adam,balanced,50,False,ResNet50,0.6186711192131042,1858.0,349.0,1683.0,174.0,0.8713090419769287,0.8418667912483215,0.914370059967041,0.9065965414047241,0.8766218381823403,0.8647223054521018
11,CA_adam,balanced,100,False,ResNet101V2,1.1838103532791138,1675.0,217.0,1815.0,357.0,0.8587598204612732,0.8853065371513367,0.8243110179901123,0.8745432496070862,0.8537206823571024,0.8639958607483172
12,CA_adam,balanced,100,False,ResNet152,0.40754687786102295,1774.0,368.0,1663.0,259.0,0.845718502998352,0.8281979560852051,0.8726020455360413,0.9129335880279541,0.8498203550092126,0.8424885237660815
13,CA_adam,balanced,100,False,ResNet50,0.8998690247535706,1610.0,219.0,1811.0,424.0,0.841781497001648,0.8802624344825745,0.7915437817573547,0.8707209825515747,0.8335490675424984,0.8485593889164113
14,CA_adam,balanced,100,False,Xception,1.5023167133331299,1677.0,220.0,1812.0,355.0,0.8585137724876404,0.8840274214744568,0.8252952694892883,0.8628984689712524,0.853652330128878,0.8635427434333471
25,CA_adam,balanced,10,False,InceptionV3,0.9321912527084351,1775.0,402.0,1628.0,259.0,0.8373523354530334,0.8153421878814697,0.8726646900177002,0.8641757369041443,0.8430301404120673,0.8335942178927279
26,CA_adam,balanced,10,False,ResNet101V2,1.1684983968734741,1781.0,382.0,1652.0,249.0,0.844734251499176,0.8233934640884399,0.8773398995399475,0.8646313548088074,0.8495111044614584,0.8406230529431225
27,CA_adam,balanced,10,False,ResNet152,0.32931092381477356,1821.0,316.0,1716.0,211.0,0.8703247904777527,0.8521291613578796,0.8961614370346069,0.9271471500396729,0.8735908029062518,0.8663178044651949
28,CA_adam,balanced,10,False,ResNet50,0.9163559675216675,1800.0,404.0,1630.0,230.0,0.8439960479736328,0.8166969418525696,0.8866994976997375,0.8711522221565247,0.8502598118661242,0.8387698204899922
29,CA_adam,balanced,10,False,Xception,1.8095686435699463,1785.0,385.0,1645.0,249.0,0.8439960479736328,0.8225806355476379,0.8775811195373535,0.8475364446640015,0.8491912406505778,0.8401317782628772
40,CA_adam,balanced,1,False,InceptionV3,1.4650206565856934,1528.0,529.0,1502.0,505.0,0.7455708384513855,0.7428293824195862,0.751598596572876,0.7797137498855591,0.7471882608836959,0.7457296285719068
41,CA_adam,balanced,1,False,ResNet101V2,1.692956566810608,1615.0,619.0,1416.0,414.0,0.7458169460296631,0.7229185104370117,0.7959585785865784,0.7677386999130249,0.757682361739059,0.7457287764130044
42,CA_adam,balanced,1,False,ResNet152,0.5651838779449463,1528.0,657.0,1373.0,506.0,0.7138287425041199,0.6993135213851929,0.7512291073799133,0.7892414331436157,0.7243422730652808,0.7158026381545401
