,model,labeling,split_percent,pretrain,arch,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
5,CA_sgd,balanced,100,False,InceptionV3,1.1463333368301392,1810.0,451.0,1581.0,222.0,0.8343995809555054,0.800530731678009,0.8907480239868164,0.8588951826095581,0.8432331630661386,0.8285016712480945
97,CA_sgd,expanded,100,False,ResNet152,1.6297770738601685,5032.0,1043.0,4445.0,456.0,0.8634293079376221,0.8283127546310425,0.9169096350669861,0.890852689743042,0.8703623676309716,0.8558793536587865
98,CA_sgd,expanded,100,False,ResNet50,1.1645969152450562,4832.0,955.0,4541.0,648.0,0.8539540767669678,0.8349749445915222,0.8817518353462219,0.8746285438537598,0.8577261081561085,0.8500058675078537
99,CA_sgd,expanded,100,False,Xception,2.550652503967285,5016.0,944.0,4543.0,473.0,0.8709001541137695,0.8416107296943665,0.913827657699585,0.8797523379325867,0.8762337286621552,0.8643804875409012
110,CA_sgd,expanded,10,False,InceptionV3,1.7967607975006104,4552.0,962.0,4524.0,938.0,0.8268950581550598,0.825534999370575,0.8291438817977905,0.8400222063064575,0.8273355050675935,0.8267344644840688
111,CA_sgd,expanded,10,False,ResNet101V2,2.3028905391693115,4559.0,975.0,4512.0,930.0,0.8264394998550415,0.8238164186477661,0.8305702209472656,0.8401984572410583,0.8271795340704043,0.8260554487536709
112,CA_sgd,expanded,10,False,ResNet152,2.4153661727905273,4536.0,967.0,4522.0,951.0,0.8252550959587097,0.8242776393890381,0.8266812562942505,0.8521333932876587,0.8254776981390193,0.8250772904872989
113,CA_sgd,expanded,10,False,ResNet50,1.7929085493087769,4374.0,918.0,4574.0,1110.0,0.8152332305908203,0.8265306353569031,0.7975929975509644,0.8384361863136292,0.8118040199214467,0.8166542345176608
114,CA_sgd,expanded,10,False,Xception,6.883150100708008,4549.0,966.0,4526.0,935.0,0.8268039226531982,0.824841320514679,0.8295040130615234,0.8333140015602112,0.8271660960010517,0.8263897161461207
125,CA_sgd,expanded,1,False,InceptionV3,2.2133028507232666,3411.0,868.0,4624.0,2073.0,0.7320517301559448,0.7971488833427429,0.6219912767410278,0.7598399519920349,0.6987606519059675,0.7287423672348194
126,CA_sgd,expanded,1,False,ResNet101V2,2.2843801975250244,3401.0,866.0,4616.0,2093.0,0.7304118275642395,0.7970470786094666,0.6190389394760132,0.7600368857383728,0.6968548124243611,0.7273310315736966
127,CA_sgd,expanded,1,False,ResNet152,2.3556668758392334,3400.0,1112.0,4374.0,2090.0,0.7082725763320923,0.7535461187362671,0.619307816028595,0.7313181161880493,0.6798640252304959,0.7027697438004359
128,CA_sgd,expanded,1,False,ResNet50,2.927807092666626,3384.0,864.0,4626.0,2102.0,0.7297740578651428,0.7966101765632629,0.6168428659439087,0.7382060289382935,0.6952948411781045,0.7260763846875565
96,CA_sgd,expanded,100,False,ResNet101V2,2.184208393096924,5005.0,922.0,4564.0,485.0,0.8718112111091614,0.8444406986236572,0.9116575717926025,0.8828855752944946,0.8767627299668278,0.8657172571602454
129,CA_sgd,expanded,1,False,Xception,3.6756532192230225,3401.0,865.0,4625.0,2085.0,0.7312317490577698,0.7972339391708374,0.6199416518211365,0.7391942739486694,0.6974979364293037,0.7278498970264465
141,CA_sgd,expanded,25,False,ResNet101V2,2.0219624042510986,3853.0,806.0,4682.0,1635.0,0.7776057124137878,0.8270015120506287,0.7020772695541382,0.795821487903595,0.7594362965239633,0.7806970245708243
142,CA_sgd,expanded,25,False,ResNet152,1.5090701580047607,3870.0,773.0,4716.0,1617.0,0.7822521924972534,0.8335128426551819,0.705303430557251,0.8367869853973389,0.7640671307835454,0.7858931941340335
143,CA_sgd,expanded,25,False,ResNet50,2.2494754791259766,3868.0,864.0,4625.0,1619.0,0.7737791538238525,0.817413330078125,0.7049389481544495,0.7939260005950928,0.7570212247873253,0.7761353606830554
144,CA_sgd,expanded,25,False,Xception,2.504368305206299,3849.0,809.0,4680.0,1638.0,0.777059018611908,0.8263202905654907,0.7014762163162231,0.7896826863288879,0.7587974292129732,0.7800445744381935
155,CA_sgd,expanded,3,False,InceptionV3,1.6060512065887451,4868.0,1373.0,4122.0,613.0,0.8190597891807556,0.7800031900405884,0.8881590962409973,0.8369453549385071,0.8305749794592885,0.8130044990445451
156,CA_sgd,expanded,3,False,ResNet101V2,3.055304527282715,4894.0,1380.0,4103.0,599.0,0.8196974992752075,0.7800446152687073,0.8909521102905273,0.8250892162322998,0.8318177833195054,0.8138129689040822
157,CA_sgd,expanded,3,False,ResNet152,4.264751434326172,4984.0,1483.0,4005.0,504.0,0.818968653678894,0.7706819176673889,0.9081632494926453,0.8397358655929565,0.833793381742298,0.8116382499980155
158,CA_sgd,expanded,3,False,ResNet50,4.108453750610352,4865.0,1361.0,4124.0,626.0,0.818968653678894,0.7814005613327026,0.8859952688217163,0.8292648792266846,0.8304173344745522,0.8134091177881229
159,CA_sgd,expanded,3,False,Xception,5.838362693786621,4892.0,1380.0,4108.0,596.0,0.8199708461761475,0.7799744606018066,0.8913994431495667,0.825160026550293,0.8319727839363936,0.8138864102345551
170,CA_sgd,expanded,50,False,InceptionV3,1.540834665298462,4870.0,953.0,4535.0,618.0,0.8568695187568665,0.8363386392593384,0.887390673160553,0.8786585330963135,0.8611086470887132,0.8526905452614182
