,model,labeling,split_percent,pretrain,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
0,CA_sgd,expanded,100,False,0.4240373373031616,4861.0,1449.0,4040.0,626.0,0.8109511733055115,0.77036452293396,0.8859121799468994,0.8833569288253784,0.8241078470512907,0.8053791578700931
1,CA_sgd,balanced,10,False,0.3999171853065491,1887.0,570.0,1462.0,145.0,0.8240649700164795,0.7680097818374634,0.9286417365074158,0.8939995169639587,0.8407217743287339,0.8150014511430459
2,CA_sgd,balanced,1,False,0.49367156624794006,1699.0,504.0,1528.0,333.0,0.7940452694892883,0.7712210416793823,0.8361220359802246,0.8612259030342102,0.8023612588031612,0.7917054808274262
3,CA_sgd,expanded,3,False,0.4589538872241974,4635.0,1452.0,4039.0,850.0,0.790269672870636,0.7614588737487793,0.8450319170951843,0.861743688583374,0.8010715723244617,0.7874172037516891
4,CA_sgd,balanced,100,False,0.3551935851573944,1804.0,420.0,1608.0,232.0,0.8395669460296631,0.8111510872840881,0.8860510587692261,0.9155086874961853,0.8469483512982761,0.834669956125244
5,CA_sgd,expanded,1,False,0.5041216015815735,4062.0,1061.0,4427.0,1426.0,0.7734147310256958,0.7928947806358337,0.740160346031189,0.8495542407035828,0.7656205768381472,0.774501074249446
6,CA_sgd,balanced,25,False,0.39736059308052063,1899.0,565.0,1464.0,136.0,0.8275098204612732,0.770698070526123,0.9331695437431335,0.8986757397651672,0.8441876127154607,0.818181834849818
7,CA_sgd,expanded,25,False,0.44863447546958923,4844.0,1430.0,4059.0,643.0,0.8111333847045898,0.7720752358436584,0.8828139305114746,0.8766491413116455,0.8237394835412746,0.805766570306008
8,CA_sgd,expanded,50,False,0.44159719347953796,4279.0,995.0,4491.0,1211.0,0.7990160584449768,0.8113386631011963,0.779417097568512,0.8796690106391907,0.795057596614609,0.8004115274649218
9,CA_sgd,expanded,10,False,0.4618213474750519,4830.0,1574.0,3917.0,655.0,0.7969205379486084,0.7542161345481873,0.8805834054946899,0.8660633563995361,0.8125157806468001,0.7921062835593973
10,CA_sgd,balanced,3,False,0.43270525336265564,1691.0,453.0,1580.0,340.0,0.8048720359802246,0.7887126803398132,0.8325947523117065,0.8804613351821899,0.8100598634260057,0.8028168882483021
11,CA_sgd,balanced,50,False,0.37009692192077637,1735.0,381.0,1648.0,300.0,0.8324310779571533,0.8199433088302612,0.8525798320770264,0.9104739427566528,0.8359431465635389,0.8305409355987418
