,model_type,split_percent,pretrain,architecture,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
0,supervised_baseline,100,False,InceptionV3,0.18633468449115753,1969.0,217.0,1788.0,26.0,0.9392499923706055,0.9007319211959839,0.9869674444198608,0.9735560417175293,0.9418799397436528,0.9277524747563525
1,supervised_baseline,100,False,ResNet101V2,0.18699850142002106,1953.0,222.0,1785.0,40.0,0.934499979019165,0.8979310393333435,0.9799297451972961,0.9737644195556641,0.9371401137157191,0.923695413039004
2,supervised_baseline,100,False,ResNet152,0.2430322766304016,1926.0,235.0,1795.0,108.0,0.9156004190444946,0.8912540674209595,0.9469026327133179,0.9512720108032227,0.9182359945653277,0.9090623092698843
3,supervised_baseline,100,False,ResNet50,0.18608644604682922,1947.0,209.0,1784.0,60.0,0.9327499866485596,0.9030612111091614,0.9701046347618103,0.9709948301315308,0.9353831304384743,0.9243551104314627
4,supervised_baseline,100,False,Xception,0.17072591185569763,1983.0,222.0,1776.0,19.0,0.9397500157356262,0.8993197083473206,0.9905095100402832,0.976170003414154,0.9427145215213569,0.9277916325183801
5,supervised_baseline,10,False,InceptionV3,0.5360277891159058,1268.0,120.0,1872.0,740.0,0.7850000262260437,0.9135446548461914,0.6314740777015686,0.9331725835800171,0.7467608724807017,0.7951504810513644
6,supervised_baseline,10,False,ResNet101V2,0.28510457277297974,1892.0,303.0,1701.0,104.0,0.8982499837875366,0.8619589805603027,0.9478957653045654,0.9474784135818481,0.9028871177713348,0.8888192723346241
7,supervised_baseline,10,False,ResNet152,0.30336543917655945,1907.0,341.0,1692.0,124.0,0.8855807185173035,0.8483096361160278,0.9389463067054749,0.9394832253456116,0.8913297538307412,0.8765129585437175
8,supervised_baseline,10,False,ResNet50,0.3853498697280884,1427.0,148.0,1855.0,570.0,0.8205000162124634,0.9060317277908325,0.7145718336105347,0.9444284439086914,0.7989921390484609,0.8317466273665275
9,supervised_baseline,10,False,Xception,0.38188377022743225,1967.0,381.0,1618.0,34.0,0.8962500095367432,0.8377342224121094,0.9830085039138794,0.9422800540924072,0.9045757566336629,0.8811407971244998
10,supervised_baseline,1,False,InceptionV3,1.0479159355163574,1959.0,1685.0,313.0,43.0,0.5680000185966492,0.5375960469245911,0.978521466255188,0.8359377384185791,0.6939426100109504,0.6326157128461048
11,supervised_baseline,1,False,ResNet101V2,6.496780872344971,146.0,49.0,1951.0,1854.0,0.5242499709129333,0.7487179636955261,0.0729999989271164,0.762576162815094,0.1330296112112278,0.18326359667066944
12,supervised_baseline,1,False,ResNet152,0.4550788402557373,1349.0,221.0,1809.0,685.0,0.7770669460296631,0.8592356443405151,0.6632251739501953,0.902077317237854,0.7486126445234159,0.7821801187887227
13,supervised_baseline,1,False,ResNet50,15.399219512939453,253.0,166.0,1836.0,1745.0,0.5222499966621399,0.6038185954093933,0.1266266256570816,0.5869408845901489,0.20935043187511465,0.26763046133640517
14,supervised_baseline,1,False,Xception,0.8897897005081177,0.0,0.0,1999.0,2001.0,0.4997499883174896,0.0,0.0,0.5,0.0,0.0
15,supervised_baseline,25,False,InceptionV3,0.29645636677742004,1985.0,396.0,1610.0,9.0,0.8987500071525574,0.8336833119392395,0.9954864382743835,0.9595022201538086,0.9074285541342039,0.8814387048946604
16,supervised_baseline,25,False,ResNet101V2,0.22742941975593567,1968.0,287.0,1714.0,31.0,0.9204999804496765,0.8727272748947144,0.9844922423362732,0.9511415362358093,0.925246826061932,0.9070517749554882
17,supervised_baseline,25,False,ResNet152,0.274973601102829,2021.0,361.0,1668.0,14.0,0.9077264070510864,0.8484466671943665,0.9931203722953796,0.9475089311599731,0.9151007288122512,0.8917487690110587
18,supervised_baseline,25,False,ResNet50,0.23755893111228943,1954.0,276.0,1722.0,48.0,0.9190000295639038,0.8762331604957581,0.9760239720344543,0.9534249901771545,0.9234404389277455,0.9071494714812064
19,supervised_baseline,25,False,Xception,0.23067718744277954,1958.0,245.0,1759.0,38.0,0.9292500019073486,0.8887880444526672,0.9809619188308716,0.9589738845825195,0.9326030139228962,0.9175257917052821
20,supervised_baseline,3,False,InceptionV3,0.4045794606208801,1644.0,247.0,1757.0,352.0,0.8502500057220459,0.869381308555603,0.8236473202705383,0.927200973033905,0.8458966055188305,0.8535825822257362
21,supervised_baseline,3,False,ResNet101V2,0.38117414712905884,1687.0,349.0,1651.0,313.0,0.8345000147819519,0.8285854458808899,0.843500018119812,0.9100953340530396,0.8359762149263559,0.8334980189484896
22,supervised_baseline,3,False,ResNet152,0.43981507420539856,1425.0,162.0,1871.0,606.0,0.8110235929489136,0.8979206085205078,0.7016248106956482,0.919589638710022,0.7877280249805604,0.8213256482946961
